expense_id,role_id,category,amount
1,LzTyhySDTfWbOLJIkzPSig,Job board listing,200
2,LzTyhySDTfWbOLJIkzPSig,Onsite travel,258
3,LzTyhySDTfWbOLJIkzPSig,Onsite travel,275
4,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
5,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
6,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
7,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
8,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
9,LzTyhySDTfWbOLJIkzPSig,Personnel assessment,50
10,hduPY6UpR62OAnAvAzMGWA,Job board listing,200
11,hduPY6UpR62OAnAvAzMGWA,Onsite travel,102
12,hduPY6UpR62OAnAvAzMGWA,Onsite travel,194
13,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
14,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
15,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
16,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
17,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
18,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
19,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
20,hduPY6UpR62OAnAvAzMGWA,Personnel assessment,50
21,M83xooliQe2tmK9JbY4wLQ,Internal referral bonus,500
22,M83xooliQe2tmK9JbY4wLQ,Job board listing,200
23,M83xooliQe2tmK9JbY4wLQ,Onsite travel,157
24,M83xooliQe2tmK9JbY4wLQ,Personnel assessment,50
25,M83xooliQe2tmK9JbY4wLQ,Personnel assessment,50
26,M83xooliQe2tmK9JbY4wLQ,Personnel assessment,50
27,M83xooliQe2tmK9JbY4wLQ,Personnel assessment,50
28,M83xooliQe2tmK9JbY4wLQ,Personnel assessment,50
29,cxvOC8cjTpKe8z0V0b6D1Q,Internal referral bonus,500
30,cxvOC8cjTpKe8z0V0b6D1Q,Job board listing,200
