open_id,post_date,branch,department,filled,fill_date,duration
LzTyhySDTfWbOLJIkzPSig,2022-09-05,J,Human Resources,1,2022-10-31,56
hduPY6UpR62OAnAvAzMGWA,2022-09-12,I,Sales,1,2022-11-08,57
cxvOC8cjTpKe8z0V0b6D1Q,2022-09-19,F,Finance and Accounting,1,2022-10-30,41
fJ8M0YvkRN2qVWjeQxIPvg,2022-09-19,F,Marketing,1,2022-11-04,46
M83xooliQe2tmK9JbY4wLQ,2022-09-19,I,Finance and Accounting,1,2022-11-05,47
mdOphIXtQSKQHO5OX1D5qA,2022-09-19,J,Information Technology,1,2022-11-02,44
eu_KU1ttQSO8A6C4x8SYBg,2022-09-20,J,Finance and Accounting,1,2022-11-02,43
K8hrVD-ITHOsbko2-CF72g,2022-09-22,B,Finance and Accounting,1,2022-10-31,39
5fxpxngLQ-mbt0-_wUm2cQ,2022-09-23,D,Human Resources,1,2022-11-06,44
qR4hTgpOSyO8E24RLK_New,2022-09-24,A,Marketing,1,2022-11-07,44
0snyGnExQleTrVU4XaWKdw,2022-09-24,F,Information Technology,1,2022-11-02,39
sPg8CGM-QJOnWSnXwRtNLQ,2022-09-25,A,Human Resources,1,2022-10-30,35
zEpfDP23QJy-iAoYvkR3rw,2022-09-25,E,Marketing,1,2022-11-02,38
sY2YvsURQFCuW4DaTdODAQ,2022-09-25,I,Marketing,1,2022-10-30,35
N6pKuHsZSwup9lx0ZZCt_A,2022-09-26,G,Sales,1,2022-11-07,42
sc8U20MMRTuUX8YTtHU5wQ,2022-09-26,J,Information Technology,1,2022-11-18,53
Tu6UEKdzTP2lujryVcNMzw,2022-09-28,J,Marketing,1,2022-11-11,44
YRNoHe9PTPiX0jNL-mJmlw,2022-09-29,I,Human Resources,1,2022-11-12,44
IL-fdcNYStOO-dE1ufJJ3Q,2022-09-29,J,Sales,1,2022-11-11,43
lTz9cO__SYGhwQHoT2oE0Q,2022-09-30,B,Information Technology,1,2022-11-06,37
XP8N4UKaRbGZlrnaqMhB0Q,2022-09-30,J,Human Resources,1,2022-11-16,47
SoE806kSSi2-pX4Ds7RGQg,2022-10-01,B,Human Resources,1,2022-11-12,42
cgKaSKFRSS-0T56BImP3_g,2022-10-01,F,Information Technology,1,2022-11-07,37
pWesdohhQryrWWTDn46HIA,2022-10-01,J,Human Resources,1,2022-11-24,54
ZjC4TNDXS-SiUD4eh4kZVw,2022-10-02,I,Finance and Accounting,1,2022-11-15,44
SYeg2uU9SzOSnE9yvb724g,2022-10-03,A,Human Resources,1,2022-11-07,35
z2ihhu6NRFOA1Wtq_nuV0Q,2022-10-03,A,Sales,1,2022-11-05,33
SKEv4fQmRs2-kaRlgElf7w,2022-10-03,B,Marketing,1,2022-11-23,51
5khl7szxQvCBASFOldjvSA,2022-10-03,I,Information Technology,1,2022-11-09,37
8WtYGgDwRKWgF-3usIk4AQ,2022-10-03,J,Marketing,1,2022-11-06,34
zTSk3Uo0SGCM1qssJZbiCQ,2022-10-04,B,Information Technology,1,2022-11-03,30
mQ7H_-yRQPiNPD7qj6jkYw,2022-10-04,F,Sales,1,2022-11-09,36
pfWtgnASTems2EYDEQ_dQA,2022-10-04,G,Marketing,1,2022-10-31,27
0x5pbSq5QQ-PwGY3jLa4uQ,2022-10-04,J,Finance and Accounting,1,2022-11-19,46
3kuRwEq2TlmJA6lwluXxMw,2022-10-04,J,Sales,1,2022-11-10,37
2g_xl0LXT-qC1mVwLvJVSA,2022-10-05,J,Information Technology,1,2022-11-09,35
X58M_Dd6SYeueYecsxntJw,2022-10-05,J,Sales,1,2022-11-12,38
3M7cIBJ1T5ePrcl9cWAuzQ,2022-10-06,A,Sales,1,2022-11-16,41
331MB3-CQ4KzhPo5NEy5_A,2022-10-06,E,Marketing,1,2022-10-31,25
