talent_id,source_channel,status,role_id,rejected_after
1,Other,hired,LzTyhySDTfWbOLJIkzPSig,
2,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
3,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
4,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
5,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
6,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,KSAO Assessment
7,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
8,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
9,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
10,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
11,Company Website,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
12,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
13,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
14,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,KSAO Assessment
15,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Onsite
16,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Onsite
17,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
18,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
19,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
20,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
21,Job Board,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
22,Other,rejected,LzTyhySDTfWbOLJIkzPSig,Interview
23,Referral,rejected,LzTyhySDTfWbOLJIkzPSig,KSAO Assessment
24,Referral,rejected,LzTyhySDTfWbOLJIkzPSig,Resume Screening
25,Company Website,hired,hduPY6UpR62OAnAvAzMGWA,
26,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
27,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
28,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,KSAO Assessment
29,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Onsite
30,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
31,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
32,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
33,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
34,Company Website,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
35,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
36,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
37,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
38,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
39,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,KSAO Assessment
40,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,KSAO Assessment
41,Job Board,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
42,Other,rejected,hduPY6UpR62OAnAvAzMGWA,KSAO Assessment
43,Other,rejected,hduPY6UpR62OAnAvAzMGWA,KSAO Assessment
44,Other,rejected,hduPY6UpR62OAnAvAzMGWA,Onsite
45,Other,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
46,Other,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
47,Referral,rejected,hduPY6UpR62OAnAvAzMGWA,Interview
48,Referral,rejected,hduPY6UpR62OAnAvAzMGWA,Resume Screening
49,Job Board,hired,fJ8M0YvkRN2qVWjeQxIPvg,
50,Job Board,hired,mdOphIXtQSKQHO5OX1D5qA,
51,Referral,hired,cxvOC8cjTpKe8z0V0b6D1Q,
52,Referral,hired,M83xooliQe2tmK9JbY4wLQ,
53,Company Website,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Interview
54,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
55,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
56,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
57,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
58,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Interview
59,Company Website,rejected,mdOphIXtQSKQHO5OX1D5qA,Interview
60,Company Website,rejected,mdOphIXtQSKQHO5OX1D5qA,Interview
61,Company Website,rejected,mdOphIXtQSKQHO5OX1D5qA,Interview
62,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,KSAO Assessment
63,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,KSAO Assessment
64,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,KSAO Assessment
65,Company Website,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Onsite
66,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Onsite
67,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Onsite
68,Company Website,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Resume Screening
69,Company Website,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Resume Screening
70,Company Website,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Resume Screening
71,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
72,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
73,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
74,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
75,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
76,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
77,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
78,Company Website,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Resume Screening
79,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Resume Screening
80,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Resume Screening
81,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Resume Screening
82,Company Website,rejected,M83xooliQe2tmK9JbY4wLQ,Resume Screening
83,Company Website,rejected,mdOphIXtQSKQHO5OX1D5qA,Resume Screening
84,Job Board,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Interview
85,Job Board,rejected,cxvOC8cjTpKe8z0V0b6D1Q,Interview
86,Job Board,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
87,Job Board,rejected,fJ8M0YvkRN2qVWjeQxIPvg,Interview
